pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.799532,0.415000,0.415000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.756060,0.415000,0.415000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.397684,0.415000,0.415000,False,False,True,$W_t$ is a Brownian Motion.,A bounded stopping time is almost surely smaller than a deterministic constant.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.200187,0.415000,0.415000,False,False,True,$W_t$ is a Brownian Motion.,Kolmogorov's continuity theorem gives conditions for a continuous modification.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.759412,0.415000,0.415000,True,True,True,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.450277,0.415000,0.415000,True,True,True,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.158350,0.415000,0.415000,False,False,True,The process is therefore centered Gaussian,The increments over disjoint time intervals are independent.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.194552,0.415000,0.415000,False,False,True,The process is therefore centered Gaussian,The stopping theorem applies to a bounded stopping time.
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.638033,0.415000,0.415000,True,True,True,Standard Brownian motion has Gaussian increments,"For Brownian motion, W_t - W_s is normally distributed."
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.753222,0.415000,0.415000,True,True,True,Standard Brownian motion has Gaussian increments,The increments of a Wiener process follow Gaussian laws.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.297178,0.415000,0.415000,False,False,True,Standard Brownian motion has Gaussian increments,The process has continuous sample paths.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.272371,0.415000,0.415000,False,False,True,Standard Brownian motion has Gaussian increments,A martingale has conditional expectation equal to its present value.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.703824,0.415000,0.415000,True,True,True,disjoint increments are independent,Increments over non-overlapping intervals are independent.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.451288,0.415000,0.415000,True,True,True,disjoint increments are independent,Changes on disjoint time intervals do not depend on one another.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.381642,0.415000,0.415000,False,False,True,disjoint increments are independent,The increments have a normal distribution.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.142066,0.415000,0.415000,False,False,True,disjoint increments are independent,The sample paths are continuous functions of time.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,1,0.211906,0.415000,0.415000,False,True,False,This shows that the increments are stationary,The law of X_t - X_s depends only on t - s.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,2,0.431230,0.415000,0.415000,True,True,True,This shows that the increments are stationary,"The distribution of an increment depends on the interval length, not on its starting time."
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,1,0.199004,0.415000,0.415000,False,False,True,This shows that the increments are stationary,The process is Gaussian with zero mean.
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,2,0.067995,0.415000,0.415000,False,False,True,This shows that the increments are stationary,Optional stopping compares the expected value of a martingale at a stopping time with its initial value.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,1,0.511362,0.415000,0.415000,True,True,True,plus the assumption of continuity of paths,The process has continuous sample paths.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,2,0.384632,0.415000,0.415000,False,True,False,plus the assumption of continuity of paths,"Almost surely, t maps to X_t continuously."
sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,1,0.068581,0.415000,0.415000,False,False,True,plus the assumption of continuity of paths,The increments are stationary.
