subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,3,1.000000,True
1,D1,outcomes,2,,2,0.079103,False
1,D1,outcomes,3,,2,0.325047,False
1,D1,outcomes,4,,1,0.273792,False
1,D1,outcomes,5,,1,0.184064,False
1,D1,outcomes,6,,1,0.184064,False
1,D3,arguments,1,,1,0.500000,False
1,D3,arguments,2,,4,0.189550,False
1,D3,arguments,3,,3,0.115377,False
1,D3,arguments,4,,4,1.000000,True
1,D3,arguments,5,,4,0.281095,False
1,D3,arguments,6,,1,0.333658,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,1.000000,True
1,D4,required_precondition_coverage,7,gt_precondition,1,0.281743,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,outcomes,1,,3,0.328735,False
2,D1,outcomes,2,,2,1.000000,True
2,D1,outcomes,3,,3,0.500000,False
2,D1,outcomes,4,,3,0.184385,False
2,D3,arguments,1,,2,0.223530,False
2,D3,arguments,2,,2,0.500000,False
2,D3,arguments,3,,1,0.250359,False
2,D3,arguments,4,,2,0.319613,False
2,D4,required_precondition_coverage,1,previous_outcome,4,0.500000,False
2,D4,required_precondition_coverage,2,previous_outcome,4,1.000000,True
2,D4,required_precondition_coverage,3,previous_outcome,4,1.000000,True
2,D4,required_precondition_coverage,4,previous_outcome,4,0.500000,False
2,D4,required_precondition_coverage,5,previous_outcome,4,1.000000,True
2,D4,required_precondition_coverage,6,previous_outcome,4,0.500000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,8,gt_precondition,4,0.500000,False
2,D4,required_precondition_coverage,9,gt_precondition,4,0.500000,False
2,D4,required_precondition_coverage,10,gt_precondition,4,0.500000,False
2,D4,required_precondition_coverage,11,gt_precondition,4,1.000000,True
2,D4,required_precondition_coverage,12,gt_precondition,4,1.000000,True
