subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.526098,True
1,D1,outcomes,2,,1,0.499539,True
1,D1,outcomes,3,,1,0.201970,False
1,D1,outcomes,4,,1,0.202375,False
1,D1,outcomes,5,,1,0.528427,True
1,D1,outcomes,6,,1,0.528427,True
1,D3,arguments,1,,1,0.025708,False
1,D3,arguments,2,,1,0.078710,False
1,D3,arguments,3,,1,1.000000,True
1,D3,arguments,4,,1,0.157305,False
1,D3,arguments,5,,1,-0.112936,False
1,D3,arguments,6,,1,0.009087,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.638626,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.524831,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.935741,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.762674,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.200690,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.418482,True
2,D1,outcomes,1,,3,0.280196,False
2,D1,outcomes,2,,3,0.484340,True
2,D1,outcomes,3,,4,0.555941,True
2,D1,outcomes,4,,3,0.506375,True
2,D3,arguments,1,,1,0.602889,True
2,D3,arguments,2,,2,0.261134,False
2,D3,arguments,3,,4,0.067561,False
2,D3,arguments,4,,1,0.904621,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.400795,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.367629,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.429413,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.878242,True
