call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,gtf,1,2,1,1,0.500000,0.859064,1.000000,1.000000,1.000000,0.569832,1.000000,1.000000,1.000000,0.894175,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.774357,0.830768,0.387178,0.415384,0.965468,1.000000,1.000000,1.000000,0.951688,1.000000,1.000000,1.000000,0.823879,1.000000,1.000000,1.000000,0.601745,1.000000,1.000000,1.000000
deepseek-r1-1.5b,self,1,2,1,1,0.500000,0.854566,1.000000,1.000000,1.000000,0.587841,1.000000,1.000000,1.000000,0.849594,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.764000,0.823000,0.382000,0.411500,0.832357,1.000000,1.000000,1.000000,0.966575,1.000000,1.000000,1.000000,0.891620,1.000000,1.000000,1.000000,0.526750,1.000000,1.000000,1.000000
deepseek-r1-1.5b,seq,1,2,1,1,0.500000,0.864643,1.000000,1.000000,1.000000,0.244211,0.500000,0.500000,0.500000,0.542847,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,0.550567,0.662925,0.275284,0.331462,0.909380,1.000000,1.000000,1.000000,0.966575,1.000000,1.000000,1.000000,0.857033,1.000000,1.000000,1.000000,0.601745,1.000000,1.000000,1.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.683188,0.750000,1.000000,0.833333,0.532163,0.650000,0.642857,0.646342,0.671823,0.700000,0.928571,0.772728,0.500000,0.500000,0.500000,0.629058,0.596793,0.629058,0.596793,0.906192,1.000000,1.000000,1.000000,0.951688,1.000000,1.000000,1.000000,0.697665,0.785714,1.000000,0.863636,0.505999,0.666667,0.916667,0.738095
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.631495,0.675000,1.000000,0.759259,0.449019,0.650000,1.000000,0.730769,0.679136,0.750000,0.833333,0.785714,0.500000,0.500000,0.500000,0.586550,0.564912,0.586550,0.564912,0.941874,1.000000,1.000000,1.000000,0.933150,1.000000,1.000000,1.000000,0.638933,0.714286,1.000000,0.800000,0.451858,0.583333,1.000000,0.642857
deepseek-r1-7b,self,2,2,2,0,1.000000,0.572083,0.583333,1.000000,0.733334,0.515885,0.650000,1.000000,0.730769,0.667009,0.750000,1.000000,0.833333,0.500000,0.500000,0.500000,0.584992,0.563744,0.584992,0.563744,0.459141,0.500000,0.500000,0.500000,0.933150,1.000000,1.000000,1.000000,0.581776,0.660714,1.000000,0.792208,0.463253,0.166666,0.500000,0.250000
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.678019,0.750000,1.000000,0.833333,0.527499,0.650000,1.000000,0.730769,0.684140,0.750000,1.000000,0.833333,0.500000,0.500000,0.500000,0.629886,0.597414,0.629886,0.597414,0.881916,1.000000,1.000000,1.000000,0.953732,1.000000,1.000000,1.000000,0.707199,0.785714,1.000000,0.863636,0.486770,0.666667,1.000000,0.750000
llama3.1-8b,acc,2,2,2,0,1.000000,0.581697,0.583333,1.000000,0.733334,0.260763,0.300000,0.500000,0.375000,0.683345,0.750000,1.000000,0.833333,1.000000,0.750000,0.750000,0.508602,0.568952,0.508602,0.568952,0.312206,0.500000,0.500000,0.500000,0.954157,1.000000,1.000000,1.000000,0.634891,0.660714,1.000000,0.792208,0.463253,0.166666,0.500000,0.250000
llama3.1-8b,gtf,2,2,2,0,1.000000,0.575975,0.558334,0.875000,0.663286,0.339753,0.200000,0.325000,0.200000,0.680264,0.750000,1.000000,0.833333,1.000000,0.583333,0.583333,0.531998,0.544831,0.531998,0.544831,0.405711,0.500000,0.250000,0.333333,0.927914,1.000000,0.500000,0.666667,0.630354,0.660714,0.875000,0.738636,0.400985,0.083334,0.500000,0.142857
llama3.1-8b,self,2,2,2,0,1.000000,0.478039,0.397222,1.000000,0.566952,0.199144,0.200000,0.375000,0.260869,0.611659,0.850000,1.000000,0.911764,1.000000,0.666667,0.666667,0.429614,0.488877,0.429614,0.488877,0.000000,0.000000,0.000000,0.000000,0.927914,1.000000,1.000000,1.000000,0.538106,0.464286,1.000000,0.633333,0.400985,0.083334,0.500000,0.142857
