pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.799532,0.375000,0.375000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.756060,0.375000,0.375000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.579538,0.375000,0.375000,True,False,False,$W_t$ is a Brownian Motion.,Brownian motion has stationary independent Gaussian increments.
sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.595484,0.375000,0.375000,True,False,False,$W_t$ is a Brownian Motion.,A Brownian path is almost surely continuous.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.004233,0.375000,0.375000,False,False,True,$W_t$ is a Brownian Motion.,The determinant of a triangular matrix is the product of its diagonal entries.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,-0.021777,0.375000,0.375000,False,False,True,$W_t$ is a Brownian Motion.,A compact topological space has the Heine-Borel property in Euclidean space.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.759412,0.375000,0.375000,True,True,True,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.450277,0.375000,0.375000,True,True,True,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.725387,0.375000,0.375000,True,False,False,The process is therefore centered Gaussian,A Gaussian process is determined by its mean and covariance function.
sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.794798,0.375000,0.375000,True,False,False,The process is therefore centered Gaussian,A Brownian motion is a centered Gaussian process.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,-0.068311,0.375000,0.375000,False,False,True,The process is therefore centered Gaussian,A prime number has exactly two positive divisors.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.041575,0.375000,0.375000,False,False,True,The process is therefore centered Gaussian,The derivative of a constant function is zero.
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.638033,0.375000,0.375000,True,True,True,Standard Brownian motion has Gaussian increments,"For Brownian motion, W_t - W_s is normally distributed."
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.753222,0.375000,0.375000,True,True,True,Standard Brownian motion has Gaussian increments,The increments of a Wiener process follow Gaussian laws.
sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,1,0.640628,0.375000,0.375000,True,False,False,Standard Brownian motion has Gaussian increments,Brownian increments over disjoint intervals are independent.
sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,2,0.630317,0.375000,0.375000,True,False,False,Standard Brownian motion has Gaussian increments,The variance of a Brownian increment depends on the length of the interval.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,-0.004527,0.375000,0.375000,False,False,True,Standard Brownian motion has Gaussian increments,The eigenvalues of a diagonal matrix are its diagonal entries.
