call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,self,2,2,2,0,1.000000,0.505543,0.322222,0.750000,0.401960,0.484616,0.450000,0.333334,0.347222,0.598199,0.600000,0.833333,0.653846,0.500000,0.500000,0.500000,0.529452,0.522089,0.529452,0.522089,0.457876,0.000000,0.000000,0.000000,0.755545,1.000000,0.500000,0.666667,0.510787,0.392857,0.750000,0.472222,0.463422,0.000000,0.000000,0.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.543527,0.397222,1.000000,0.566952,0.523881,0.550000,0.666667,0.576923,0.619714,0.550000,0.666667,0.576923,0.500000,0.500000,0.500000,0.562374,0.546781,0.562374,0.546781,0.456829,0.000000,0.000000,0.000000,0.922349,1.000000,1.000000,1.000000,0.583628,0.500000,1.000000,0.666667,0.273124,0.000000,0.000000,0.000000
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.581116,0.397222,1.000000,0.566952,0.506687,0.500000,0.500000,0.500000,0.706886,0.650000,0.833333,0.706897,0.500000,0.500000,0.500000,0.598230,0.573673,0.598230,0.573673,0.480526,0.000000,0.000000,0.000000,0.987911,1.000000,1.000000,1.000000,0.603732,0.500000,1.000000,0.666667,0.358809,0.000000,0.000000,0.000000
deepseek-r1-7b,self,2,2,2,0,1.000000,0.610742,0.502778,1.000000,0.667488,0.512889,0.400000,0.500000,0.406896,0.696620,0.650000,0.833333,0.706897,1.000000,0.583333,0.583333,0.606750,0.600896,0.606750,0.600896,0.676146,0.500000,0.666667,0.571429,0.922349,1.000000,1.000000,1.000000,0.645596,0.571429,1.000000,0.724638,0.359654,0.000000,0.000000,0.000000
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.563282,0.372222,1.000000,0.538461,0.508595,0.550000,0.666667,0.576923,0.667326,0.600000,0.833333,0.653846,0.500000,0.500000,0.500000,0.579735,0.559801,0.579735,0.559801,0.480526,0.000000,0.000000,0.000000,0.987911,1.000000,1.000000,1.000000,0.597222,0.464286,1.000000,0.633333,0.314553,0.000000,0.000000,0.000000
llama3.1-8b,acc,2,2,2,0,1.000000,0.610905,0.422222,0.564285,0.472727,0.395040,0.350000,0.171429,0.211111,0.633856,0.700000,0.950000,0.776923,0.500000,0.500000,0.500000,0.546601,0.534950,0.546601,0.534950,0.490284,0.000000,0.000000,0.000000,0.914646,1.000000,0.428571,0.600000,0.609521,0.464286,0.564285,0.496592,0.457344,0.166666,0.125000,0.142857
llama3.1-8b,gtf,1,2,1,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.288161,0.000000,0.000000,0.000000,0.861642,1.000000,0.714286,0.833333,1.000000,1.000000,1.000000,0.383268,0.537451,0.191634,0.268726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
llama3.1-8b,self,2,2,2,0,1.000000,0.561382,0.397222,0.900000,0.551171,0.309635,0.250000,0.250000,0.250000,0.589773,0.600000,0.700000,0.633333,0.500000,0.500000,0.500000,0.486930,0.490198,0.486930,0.490198,0.456829,0.000000,0.000000,0.000000,0.922349,1.000000,1.000000,1.000000,0.590577,0.500000,0.900000,0.641026,0.316430,0.000000,0.000000,0.000000
llama3.1-8b,seq,2,2,2,0,1.000000,0.246854,0.150000,0.500000,0.230769,0.305267,0.050000,0.125000,0.071429,0.693720,0.700000,0.791667,0.715415,0.500000,0.500000,0.500000,0.415280,0.436460,0.415280,0.436460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286921,0.214285,0.500000,0.300000,0.153362,0.000000,0.000000,0.000000
llama3.2-1b,acc,1,2,1,1,0.500000,0.538164,0.500000,0.333333,0.400000,0.405608,0.200000,0.083333,0.117647,0.576374,0.400000,0.250000,0.307692,0.000000,0.166667,0.000000,0.506715,0.380037,0.253358,0.190019,,,,,,,,,0.589717,0.642857,0.333333,0.439024,0.417874,0.166667,0.100000,0.125000
