call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,gtf,1,2,1,1,0.500000,0.859064,1.000000,1.000000,1.000000,0.569832,1.000000,1.000000,1.000000,0.894175,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.774357,0.830768,0.387178,0.415384,0.965468,1.000000,1.000000,1.000000,0.951688,1.000000,1.000000,1.000000,0.823879,1.000000,1.000000,1.000000,0.601745,1.000000,1.000000,1.000000
deepseek-r1-1.5b,self,1,2,1,1,0.500000,0.854566,1.000000,1.000000,1.000000,0.587841,1.000000,1.000000,1.000000,0.849594,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.764000,0.823000,0.382000,0.411500,0.832357,1.000000,1.000000,1.000000,0.966575,1.000000,1.000000,1.000000,0.891620,1.000000,1.000000,1.000000,0.526750,1.000000,1.000000,1.000000
deepseek-r1-1.5b,seq,1,2,1,1,0.500000,0.864643,1.000000,1.000000,1.000000,0.244211,0.500000,0.500000,0.500000,0.542847,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,0.550567,0.662925,0.275284,0.331462,0.909380,1.000000,1.000000,1.000000,0.966575,1.000000,1.000000,1.000000,0.857033,1.000000,1.000000,1.000000,0.601745,1.000000,1.000000,1.000000
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.678342,0.825000,1.000000,0.893939,0.473859,0.650000,0.642857,0.646342,0.669253,0.800000,0.928571,0.852941,0.500000,0.500000,0.500000,0.607151,0.580364,0.607151,0.580364,0.906192,1.000000,1.000000,1.000000,0.951688,1.000000,1.000000,1.000000,0.695725,0.857143,1.000000,0.916667,0.494371,0.750000,0.916667,0.812500
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.634264,0.775000,1.000000,0.854839,0.449019,0.650000,1.000000,0.730769,0.665868,0.800000,0.833333,0.815789,0.500000,0.500000,0.500000,0.583051,0.562288,0.583051,0.562288,0.941874,1.000000,1.000000,1.000000,0.933150,1.000000,1.000000,1.000000,0.632368,0.785714,1.000000,0.863636,0.476405,0.750000,1.000000,0.833333
deepseek-r1-7b,self,2,2,2,0,1.000000,0.599686,0.738889,1.000000,0.849264,0.467272,0.650000,1.000000,0.730769,0.653506,0.800000,1.000000,0.875000,0.500000,0.500000,0.500000,0.573488,0.555115,0.573488,0.555115,0.632112,0.500000,0.500000,0.500000,0.933150,1.000000,1.000000,1.000000,0.626814,0.767857,1.000000,0.868572,0.389424,0.750000,1.000000,0.833333
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.674003,0.850000,1.000000,0.911764,0.478886,0.650000,1.000000,0.730769,0.670637,0.800000,1.000000,0.875000,0.500000,0.500000,0.500000,0.607841,0.580882,0.607841,0.580882,0.881916,1.000000,1.000000,1.000000,0.953732,1.000000,1.000000,1.000000,0.712066,0.892857,1.000000,0.940000,0.462025,0.750000,1.000000,0.833333
llama3.1-8b,acc,2,2,2,0,1.000000,0.585597,0.738889,1.000000,0.849264,0.165953,0.250000,0.500000,0.333334,0.669843,0.800000,1.000000,0.875000,0.500000,0.500000,0.500000,0.473797,0.480348,0.473797,0.480348,0.486534,0.500000,0.500000,0.500000,0.954157,1.000000,1.000000,1.000000,0.619956,0.767857,1.000000,0.868572,0.414631,0.750000,1.000000,0.833333
llama3.1-8b,gtf,2,2,2,0,1.000000,0.580952,0.688889,0.875000,0.756818,0.264066,0.400000,0.325000,0.338095,0.686303,0.900000,1.000000,0.944445,1.000000,0.583333,0.583333,0.510441,0.528663,0.510441,0.528663,0.578683,0.500000,0.250000,0.333333,0.927914,1.000000,0.750000,0.857143,0.621946,0.696429,0.875000,0.766304,0.376447,0.750000,1.000000,0.833333
llama3.1-8b,self,2,2,2,0,1.000000,0.496035,0.552778,1.000000,0.711982,0.153589,0.200000,0.375000,0.260869,0.582168,0.850000,1.000000,0.911764,1.000000,0.583333,0.583333,0.410598,0.453781,0.410598,0.453781,0.336568,0.000000,0.000000,0.000000,0.927914,1.000000,1.000000,1.000000,0.515591,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
