pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.943183,0.705000,0.705000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.869343,0.705000,0.705000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.836156,0.705000,0.705000,True,False,False,$W_t$ is a Brownian Motion.,Brownian motion has stationary independent Gaussian increments.
sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.825049,0.705000,0.705000,True,False,False,$W_t$ is a Brownian Motion.,A Brownian path is almost surely continuous.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.599342,0.705000,0.705000,False,False,True,$W_t$ is a Brownian Motion.,The determinant of a triangular matrix is the product of its diagonal entries.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.627266,0.705000,0.705000,False,False,True,$W_t$ is a Brownian Motion.,A compact topological space has the Heine-Borel property in Euclidean space.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.824253,0.705000,0.705000,True,True,True,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.648887,0.705000,0.705000,False,True,False,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.831432,0.705000,0.705000,True,False,False,The process is therefore centered Gaussian,A Gaussian process is determined by its mean and covariance function.
sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.893055,0.705000,0.705000,True,False,False,The process is therefore centered Gaussian,A Brownian motion is a centered Gaussian process.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.496569,0.705000,0.705000,False,False,True,The process is therefore centered Gaussian,A prime number has exactly two positive divisors.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.578575,0.705000,0.705000,False,False,True,The process is therefore centered Gaussian,The derivative of a constant function is zero.
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.836484,0.705000,0.705000,True,True,True,Standard Brownian motion has Gaussian increments,"For Brownian motion, W_t - W_s is normally distributed."
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.886785,0.705000,0.705000,True,True,True,Standard Brownian motion has Gaussian increments,The increments of a Wiener process follow Gaussian laws.
sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,1,0.834037,0.705000,0.705000,True,False,False,Standard Brownian motion has Gaussian increments,Brownian increments over disjoint intervals are independent.
sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,2,0.816952,0.705000,0.705000,True,False,False,Standard Brownian motion has Gaussian increments,The variance of a Brownian increment depends on the length of the interval.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.601264,0.705000,0.705000,False,False,True,Standard Brownian motion has Gaussian increments,The eigenvalues of a diagonal matrix are its diagonal entries.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.620815,0.705000,0.705000,False,False,True,Standard Brownian motion has Gaussian increments,A continuous function on a compact interval attains a maximum.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.838839,0.705000,0.705000,True,True,True,disjoint increments are independent,Increments over non-overlapping intervals are independent.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.697812,0.705000,0.705000,False,True,False,disjoint increments are independent,Changes on disjoint time intervals do not depend on one another.
sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,1,0.662881,0.705000,0.705000,False,False,True,disjoint increments are independent,Brownian increments are Gaussian random variables.
sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,2,0.676428,0.705000,0.705000,False,False,True,disjoint increments are independent,Brownian motion has stationary increments.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.604223,0.705000,0.705000,False,False,True,disjoint increments are independent,The rank-nullity theorem relates the rank and nullity of a linear map.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.594411,0.705000,0.705000,False,False,True,disjoint increments are independent,A convex function lies below each secant line on an interval.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,1,0.584709,0.705000,0.705000,False,True,False,This shows that the increments are stationary,The law of X_t - X_s depends only on t - s.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,2,0.710564,0.705000,0.705000,True,True,True,This shows that the increments are stationary,"The distribution of an increment depends on the interval length, not on its starting time."
sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,1,0.731222,0.705000,0.705000,True,False,False,This shows that the increments are stationary,Brownian motion has independent increments.
sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,2,0.749506,0.705000,0.705000,True,False,False,This shows that the increments are stationary,Brownian increments are normally distributed.
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,1,0.639004,0.705000,0.705000,False,False,True,This shows that the increments are stationary,The roots of a quadratic polynomial are given by the quadratic formula.
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,2,0.685895,0.705000,0.705000,False,False,True,This shows that the increments are stationary,The determinant changes sign when two matrix rows are exchanged.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,1,0.727573,0.705000,0.705000,True,True,True,plus the assumption of continuity of paths,The process has continuous sample paths.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,2,0.723856,0.705000,0.705000,True,True,True,plus the assumption of continuity of paths,"Almost surely, t maps to X_t continuously."
sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,1,0.759097,0.705000,0.705000,True,False,False,plus the assumption of continuity of paths,Kolmogorov's continuity theorem gives conditions for a continuous modification.
sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,2,0.756995,0.705000,0.705000,True,False,False,plus the assumption of continuity of paths,Brownian motion has continuous sample paths.
sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,1,0.614457,0.705000,0.705000,False,False,True,plus the assumption of continuity of paths,The gradient of a scalar field points in the direction of steepest ascent.
sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,2,0.634474,0.705000,0.705000,False,False,True,plus the assumption of continuity of paths,A finite group has order equal to the number of its elements.
sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,1,0.864580,0.705000,0.705000,True,True,True,by taking the continuous version via Kolmogorov's theorem,Kolmogorov's continuity theorem gives a continuous modification of the process.
sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,2,0.852154,0.705000,0.705000,True,True,True,by taking the continuous version via Kolmogorov's theorem,The Kolmogorov-Chentsov theorem provides conditions under which a stochastic process has a continuous version.
sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,1,0.775947,0.705000,0.705000,True,False,False,by taking the continuous version via Kolmogorov's theorem,Brownian motion has continuous sample paths.
sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,2,0.795391,0.705000,0.705000,True,False,False,by taking the continuous version via Kolmogorov's theorem,The Kolmogorov-Chentsov theorem is used to prove sample-path regularity.
sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,1,0.661042,0.705000,0.705000,False,False,True,by taking the continuous version via Kolmogorov's theorem,The inverse of an invertible matrix is unique.
sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,2,0.648381,0.705000,0.705000,False,False,True,by taking the continuous version via Kolmogorov's theorem,The integral of a polynomial is computed term by term.
sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,1,0.767604,0.705000,0.705000,True,True,True,Hence by the law of large numbers for Brownian motion,"For Brownian motion, W_t divided by t converges to zero almost surely as t goes to infinity."
sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,2,0.752493,0.705000,0.705000,True,True,True,Hence by the law of large numbers for Brownian motion,The long-time average growth rate of Brownian motion vanishes almost surely.
