pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.931913,0.920000,0.920000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.950025,0.920000,0.920000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.908975,0.920000,0.920000,False,False,True,$W_t$ is a Brownian Motion.,A bounded stopping time is almost surely smaller than a deterministic constant.
sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.919840,0.920000,0.920000,False,False,True,$W_t$ is a Brownian Motion.,Kolmogorov's continuity theorem gives conditions for a continuous modification.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.906981,0.920000,0.920000,False,True,False,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.884140,0.920000,0.920000,False,True,False,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.905575,0.920000,0.920000,False,False,True,The process is therefore centered Gaussian,The increments over disjoint time intervals are independent.
sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.894856,0.920000,0.920000,False,False,True,The process is therefore centered Gaussian,The stopping theorem applies to a bounded stopping time.
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.880914,0.920000,0.920000,False,True,False,Standard Brownian motion has Gaussian increments,"For Brownian motion, W_t - W_s is normally distributed."
sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.887929,0.920000,0.920000,False,True,False,Standard Brownian motion has Gaussian increments,The increments of a Wiener process follow Gaussian laws.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.897474,0.920000,0.920000,False,False,True,Standard Brownian motion has Gaussian increments,The process has continuous sample paths.
sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.901175,0.920000,0.920000,False,False,True,Standard Brownian motion has Gaussian increments,A martingale has conditional expectation equal to its present value.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.918485,0.920000,0.920000,False,True,False,disjoint increments are independent,Increments over non-overlapping intervals are independent.
sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.881285,0.920000,0.920000,False,True,False,disjoint increments are independent,Changes on disjoint time intervals do not depend on one another.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.870255,0.920000,0.920000,False,False,True,disjoint increments are independent,The increments have a normal distribution.
sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.843086,0.920000,0.920000,False,False,True,disjoint increments are independent,The sample paths are continuous functions of time.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,1,0.898960,0.920000,0.920000,False,True,False,This shows that the increments are stationary,The law of X_t - X_s depends only on t - s.
sem_0005_equivalent,sem_0005,stationary_increments,equivalent,2,0.917632,0.920000,0.920000,False,True,False,This shows that the increments are stationary,"The distribution of an increment depends on the interval length, not on its starting time."
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,1,0.904687,0.920000,0.920000,False,False,True,This shows that the increments are stationary,The process is Gaussian with zero mean.
sem_0005_unrelated,sem_0005,stationary_increments,unrelated,2,0.897912,0.920000,0.920000,False,False,True,This shows that the increments are stationary,Optional stopping compares the expected value of a martingale at a stopping time with its initial value.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,1,0.923141,0.920000,0.920000,True,True,True,plus the assumption of continuity of paths,The process has continuous sample paths.
sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,2,0.899254,0.920000,0.920000,False,True,False,plus the assumption of continuity of paths,"Almost surely, t maps to X_t continuously."
sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,1,0.932059,0.920000,0.920000,True,False,False,plus the assumption of continuity of paths,The increments are stationary.
sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,2,0.914236,0.920000,0.920000,False,False,True,plus the assumption of continuity of paths,The random time tau is bounded.
sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,1,0.970406,0.920000,0.920000,True,True,True,by taking the continuous version via Kolmogorov's theorem,Kolmogorov's continuity theorem gives a continuous modification of the process.
sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,2,0.953603,0.920000,0.920000,True,True,True,by taking the continuous version via Kolmogorov's theorem,The Kolmogorov-Chentsov theorem provides conditions under which a stochastic process has a continuous version.
sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,1,0.905607,0.920000,0.920000,False,False,True,by taking the continuous version via Kolmogorov's theorem,Brownian motion has independent increments.
sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,2,0.898208,0.920000,0.920000,False,False,True,by taking the continuous version via Kolmogorov's theorem,A bounded stopping time is dominated by a finite deterministic bound.
sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,1,0.784534,0.920000,0.920000,False,True,False,Hence by the law of large numbers for Brownian motion,"For Brownian motion, W_t divided by t converges to zero almost surely as t goes to infinity."
sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,2,0.808779,0.920000,0.920000,False,True,False,Hence by the law of large numbers for Brownian motion,The long-time average growth rate of Brownian motion vanishes almost surely.
