subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,1,0.244464,False
1,D2,arguments,3,,1,-0.002101,False
1,D2,arguments,4,,1,0.500000,False
1,D2,arguments,5,,1,0.243068,False
1,D2,arguments,6,,1,0.500000,False
1,D3,outcomes,1,,1,0.514751,True
1,D3,outcomes,2,,1,0.500000,False
1,D3,outcomes,3,,1,0.168197,False
1,D3,outcomes,4,,1,0.225493,False
1,D3,outcomes,5,,1,0.569309,True
1,D3,outcomes,6,,1,0.569309,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.558734,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.553066,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.778871,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.722587,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.205041,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.500000,False
2,D2,arguments,2,,1,0.489136,True
2,D2,arguments,3,,1,0.013909,False
2,D2,arguments,4,,1,0.538882,True
2,D3,outcomes,1,,1,0.000000,False
2,D3,outcomes,2,,1,0.217566,False
2,D3,outcomes,3,,1,0.550388,True
2,D3,outcomes,4,,1,0.660769,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.878242,True
