subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.658346,True
1,D1,outcomes,2,,1,0.716768,True
1,D1,outcomes,3,,1,0.206242,False
1,D1,outcomes,4,,1,0.279864,False
1,D1,outcomes,5,,1,0.380241,False
1,D1,outcomes,6,,1,0.380241,False
1,D3,arguments,1,,1,0.370641,False
1,D3,arguments,2,,1,0.271288,False
1,D3,arguments,3,,1,0.119402,False
1,D3,arguments,4,,1,0.286950,False
1,D3,arguments,5,,1,0.135771,False
1,D3,arguments,6,,1,0.278025,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.637959,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.290606,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.396742,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.553001,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.480296,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.143804,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.093525,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.305329,False
2,D1,outcomes,1,,1,0.678868,True
2,D1,outcomes,2,,1,0.165149,False
2,D1,outcomes,3,,1,0.525264,True
2,D1,outcomes,4,,1,0.571802,True
2,D3,arguments,1,,1,0.440184,True
2,D3,arguments,2,,1,0.175180,False
2,D3,arguments,3,,1,0.043878,False
2,D3,arguments,4,,1,0.383230,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.400795,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.117828,False
