subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,2,1.000000,True
1,D2,arguments,3,,4,0.101403,False
1,D2,arguments,4,,4,0.227622,False
1,D2,arguments,5,,1,0.189591,False
1,D2,arguments,6,,2,1.000000,True
1,D3,outcomes,1,,3,0.611914,True
1,D3,outcomes,2,,3,1.000000,True
1,D3,outcomes,3,,3,0.218900,False
1,D3,outcomes,4,,1,0.266655,False
1,D3,outcomes,5,,2,0.500000,False
1,D3,outcomes,6,,2,0.500000,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.604890,True
1,D1,required_precondition_coverage,2,gt_precondition,4,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,2,0.917187,True
1,D1,required_precondition_coverage,4,gt_precondition,4,0.676611,True
1,D1,required_precondition_coverage,5,gt_precondition,4,0.599111,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.200690,False
1,D1,required_precondition_coverage,7,gt_precondition,2,0.148157,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.663157,True
2,D2,arguments,2,,1,0.223174,False
2,D2,arguments,3,,1,0.026993,False
2,D2,arguments,4,,1,0.748145,True
2,D3,outcomes,1,,1,0.500000,False
2,D3,outcomes,2,,1,0.217856,False
2,D3,outcomes,3,,1,0.614301,True
2,D3,outcomes,4,,1,0.701654,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
