subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.216652,0.216652,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),Définition du mouvement brownien
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.357021,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a necessary condition, not a sufficient one.",103ef328ba47f844d276f8d91a23b85861cac9675adaa608bb17352ecb893aa9,False,,L'indépendance de \(X_s\) et \(X_t - X_s\),Nécessité de la condition $X_0=0$
1,D2,arguments,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.213659,0.213659,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),Nécessité du processus gaussien centré
1,D2,arguments,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.270833,0.270833,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),Nécessité de la covariance inférieure
1,D2,arguments,1,5,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[5],gt_atom,0.350104,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is too vague to fully express the independence of \(X_s\) and \(X_t - X_s\).,ef3d22111e992beff6fce293b2637c217ffb3339d9c69509f6cb6142fa835073,False,,L'indépendance de \(X_s\) et \(X_t - X_s\),Suffisance des conditions
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.321954,0.321954,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",Définition du mouvement brownien
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.099633,0.099633,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",Nécessité de la condition $X_0=0$
1,D2,arguments,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.576324,0.576324,True,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",Nécessité du processus gaussien centré
1,D2,arguments,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.419923,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a necessary condition, not a full characterization.",41bdf7eeac24b923678f03cc426e1a15d337ce4f121654a926102753d504c4e4,False,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",Nécessité de la covariance inférieure
1,D2,arguments,2,5,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[5],gt_atom,0.348344,0.348344,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",Suffisance des conditions
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.040622,0.040622,False,False,,,,,,,Calculation,Définition du mouvement brownien
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.066337,0.066337,False,False,,,,,,,Calculation,Nécessité de la condition $X_0=0$
1,D2,arguments,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.126581,0.126581,False,False,,,,,,,Calculation,Nécessité du processus gaussien centré
1,D2,arguments,3,4,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[4],gt_atom,0.019672,0.019672,False,False,,,,,,,Calculation,Nécessité de la covariance inférieure
1,D2,arguments,3,5,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[5],gt_atom,0.104532,0.104532,False,False,,,,,,,Calculation,Suffisance des conditions
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.238975,0.238975,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),Définition du mouvement brownien
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.140113,0.140113,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),Nécessité de la condition $X_0=0$
1,D2,arguments,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.270639,0.270639,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),Nécessité du processus gaussien centré
1,D2,arguments,4,4,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[4],gt_atom,0.352064,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement mentions necessity of covariance, while ground-truth statement focuses on the law's dependence on \(t-s\).",16d3981b2944fc0460dcf527d7a9cb49c4105260c00e751a851d48406a273f71,False,,donc la loi ne dépend que de \(t-s\),Nécessité de la covariance inférieure
1,D2,arguments,4,5,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[5],gt_atom,0.426700,1.000000,True,True,equivalent,1.000000,Same mathematical dependency on t-s.,f8b3acd40623150c102d2286941eb693b7288bfdf79b4a9c7337ca9701410000,False,,donc la loi ne dépend que de \(t-s\),Suffisance des conditions
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.195918,0.195918,False,False,,,,,,,plus l'hypothèse de continuité des trajectoires,Définition du mouvement brownien
