call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,overall_mean_score,overall_with_D2_score,end_to_end_overall_mean_score,end_to_end_overall_with_D2_score,D4_global_assumption_mean_best_score,D4_global_assumption_recall,D4_global_assumption_precision,D4_global_assumption_f1,D4_local_assumption_mean_best_score,D4_local_assumption_recall,D4_local_assumption_precision,D4_local_assumption_f1,D4_gt_precondition_mean_best_score,D4_gt_precondition_recall,D4_gt_precondition_precision,D4_gt_precondition_f1,D4_previous_outcome_mean_best_score,D4_previous_outcome_recall,D4_previous_outcome_precision,D4_previous_outcome_f1
deepseek-r1-1.5b,acc,1,2,1,1,0.500000,0.892562,1.000000,1.000000,1.000000,0.341104,0.000000,0.000000,0.000000,0.839650,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.691105,0.768329,0.345552,0.384165,0.917599,1.000000,1.000000,1.000000,0.953732,1.000000,1.000000,1.000000,0.816788,1.000000,1.000000,1.000000,0.547034,1.000000,1.000000,1.000000
deepseek-r1-1.5b,gtf,1,2,1,1,0.500000,0.765934,1.000000,1.000000,1.000000,0.568609,1.000000,1.000000,1.000000,0.702984,0.777778,1.000000,0.875000,1.000000,1.000000,1.000000,0.679176,0.759382,0.339588,0.379691,0.522010,0.500000,0.500000,0.500000,0.966575,1.000000,1.000000,1.000000,0.736964,0.750000,1.000000,0.857143,0.401830,1.000000,1.000000,1.000000
deepseek-r1-1.5b,self,2,2,2,0,1.000000,0.654018,0.800000,1.000000,0.875000,0.231915,0.200000,0.500000,0.285714,0.645145,0.825000,1.000000,0.893939,0.500000,0.500000,0.500000,0.510360,0.507769,0.510360,0.507769,0.836815,1.000000,1.000000,1.000000,0.953732,1.000000,1.000000,1.000000,0.648948,0.857143,1.000000,0.916667,0.488122,0.750000,1.000000,0.833333
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.645563,0.800000,0.954546,0.861446,0.426752,0.500000,0.568182,0.530000,0.525138,0.602778,1.000000,0.751082,0.500000,0.583333,0.500000,0.532484,0.524363,0.532484,0.524363,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.550420,0.607143,1.000000,0.750000,0.389424,0.750000,1.000000,0.833333
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.684586,0.750000,0.875000,0.800000,0.458726,0.600000,0.625000,0.611111,0.597471,0.750000,1.000000,0.833333,0.500000,0.583333,0.500000,0.580261,0.560195,0.580261,0.560195,0.894006,1.000000,1.000000,1.000000,0.953732,1.000000,1.000000,1.000000,0.589036,0.750000,1.000000,0.833333,0.449049,0.750000,1.000000,0.833333
deepseek-r1-7b,self,2,2,2,0,1.000000,0.646812,0.800000,1.000000,0.875000,0.458687,0.650000,1.000000,0.730769,0.602021,0.738889,1.000000,0.849264,0.500000,0.500000,0.500000,0.569173,0.551880,0.569173,0.551880,0.620023,0.500000,0.500000,0.500000,0.933150,1.000000,1.000000,1.000000,0.638876,0.767857,1.000000,0.868572,0.389424,0.750000,1.000000,0.833333
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.647879,0.800000,1.000000,0.875000,0.276481,0.400000,0.750000,0.480769,0.610718,0.738889,1.000000,0.849264,0.500000,0.500000,0.500000,0.511692,0.508769,0.511692,0.508769,0.578683,0.500000,0.500000,0.500000,0.933150,1.000000,1.000000,1.000000,0.654134,0.767857,1.000000,0.868572,0.400046,0.750000,1.000000,0.833333
llama3.1-8b,acc,2,2,2,0,1.000000,0.649633,0.850000,0.800000,0.823077,0.218373,0.150000,0.500000,0.230769,0.549629,0.602778,1.000000,0.751082,0.500000,0.500000,0.500000,0.472544,0.479409,0.472544,0.479409,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.584431,0.607143,1.000000,0.750000,0.391702,0.750000,1.000000,0.833333
llama3.1-8b,gtf,2,2,2,0,1.000000,0.693787,0.850000,0.954546,0.895480,0.259107,0.350000,0.750000,0.416666,0.558612,0.677778,1.000000,0.801588,0.500000,0.500000,0.500000,0.503835,0.502876,0.503835,0.502876,0.504125,0.500000,0.500000,0.500000,0.596849,0.500000,0.500000,0.500000,0.562043,0.678571,1.000000,0.794872,0.489371,0.833333,0.928571,0.875000
llama3.1-8b,self,2,2,2,0,1.000000,0.679683,0.850000,1.000000,0.911764,0.086162,0.050000,0.166666,0.076923,0.552993,0.663889,1.000000,0.792339,1.000000,0.583333,0.583333,0.439613,0.475542,0.439613,0.475542,0.655706,0.500000,0.500000,0.500000,0.933150,1.000000,1.000000,1.000000,0.563582,0.660714,1.000000,0.792208,0.376447,0.750000,1.000000,0.833333
