status,call1_model,language,variation,exercise,strategy,prediction_path
found,tinyllama,en,role_student,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc2_q1_seq.yaml
found,tinyllama,en,role_student,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc2_q1_acc.yaml
found,tinyllama,en,role_student,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc2_q1_gtf.yaml
found,tinyllama,en,role_student,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc2_q1_self.yaml
found,tinyllama,en,role_student,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc4_q4_seq.yaml
found,tinyllama,en,role_student,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc4_q4_acc.yaml
missing,tinyllama,en,role_student,pc4_q4,gtf,
found,tinyllama,en,role_student,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/role_student/pc4_q4_self.yaml
found,llama3.2-1b,en,role_student,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc2_q1_seq.yaml
found,llama3.2-1b,en,role_student,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc2_q1_acc.yaml
found,llama3.2-1b,en,role_student,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc2_q1_gtf.yaml
found,llama3.2-1b,en,role_student,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc2_q1_self.yaml
found,llama3.2-1b,en,role_student,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc4_q4_seq.yaml
found,llama3.2-1b,en,role_student,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc4_q4_acc.yaml
found,llama3.2-1b,en,role_student,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc4_q4_gtf.yaml
found,llama3.2-1b,en,role_student,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/role_student/pc4_q4_self.yaml
missing,deepseek-r1-1.5b,en,role_student,pc2_q1,seq,
missing,deepseek-r1-1.5b,en,role_student,pc2_q1,acc,
missing,deepseek-r1-1.5b,en,role_student,pc2_q1,gtf,
found,deepseek-r1-1.5b,en,role_student,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_student/pc2_q1_self.yaml
missing,deepseek-r1-1.5b,en,role_student,pc4_q4,seq,
found,deepseek-r1-1.5b,en,role_student,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_student/pc4_q4_acc.yaml
found,deepseek-r1-1.5b,en,role_student,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_student/pc4_q4_gtf.yaml
found,deepseek-r1-1.5b,en,role_student,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/role_student/pc4_q4_self.yaml
