subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.676589,True
1,D1,outcomes,2,,1,0.465806,True
1,D1,outcomes,3,,1,0.239208,False
1,D1,outcomes,4,,1,0.320315,False
1,D1,outcomes,5,,2,0.462182,True
1,D1,outcomes,6,,2,0.462182,True
1,D3,arguments,1,,1,0.588548,True
1,D3,arguments,2,,2,0.328699,False
1,D3,arguments,3,,2,-0.006232,False
1,D3,arguments,4,,1,0.296816,False
1,D3,arguments,5,,1,0.338951,False
1,D3,arguments,6,,1,0.434357,False
1,D4,required_precondition_coverage,1,gt_precondition,2,0.559313,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.437511,False
1,D4,required_precondition_coverage,3,gt_precondition,2,0.467503,True
1,D4,required_precondition_coverage,4,gt_precondition,2,0.769664,True
1,D4,required_precondition_coverage,5,gt_precondition,2,0.620132,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.281124,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.205540,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.482833,True
2,D1,outcomes,1,,2,0.200058,False
2,D1,outcomes,2,,1,0.466842,True
2,D1,outcomes,3,,5,0.750414,True
2,D1,outcomes,4,,1,0.741390,True
2,D3,arguments,1,,5,0.273848,False
2,D3,arguments,2,,1,0.629589,True
2,D3,arguments,3,,4,0.161301,False
2,D3,arguments,4,,5,0.323330,False
2,D4,required_precondition_coverage,1,previous_outcome,5,0.582716,True
2,D4,required_precondition_coverage,2,previous_outcome,4,0.785980,True
2,D4,required_precondition_coverage,3,previous_outcome,4,0.351860,False
2,D4,required_precondition_coverage,4,previous_outcome,4,0.444146,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.420632,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.672006,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.347357,False
2,D4,required_precondition_coverage,8,gt_precondition,4,0.517449,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.420414,False
2,D4,required_precondition_coverage,10,gt_precondition,4,0.692162,True
2,D4,required_precondition_coverage,11,gt_precondition,5,0.626758,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.732822,True
