call1_model,strategy,cases,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,overall_mean_score,overall_with_D2_score,D4_global_assumption_mean_best_score,D4_global_assumption_recall,D4_global_assumption_precision,D4_global_assumption_f1,D4_local_assumption_mean_best_score,D4_local_assumption_recall,D4_local_assumption_precision,D4_local_assumption_f1,D4_gt_precondition_mean_best_score,D4_gt_precondition_recall,D4_gt_precondition_precision,D4_gt_precondition_f1,D4_previous_outcome_mean_best_score,D4_previous_outcome_recall,D4_previous_outcome_precision,D4_previous_outcome_f1
deepseek-r1-1.5b,acc,2,0.675308,0.800000,1.000000,0.875000,0.446053,0.600000,0.750000,0.642857,0.486448,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.535937,0.526952,0.645487,0.500000,0.500000,0.500000,0.644105,0.500000,0.500000,0.500000,0.483337,0.500000,1.000000,0.666667,0.455087,0.666667,1.000000,0.750000
deepseek-r1-1.5b,gtf,2,0.659695,0.800000,1.000000,0.875000,0.205987,0.300000,0.500000,0.333334,0.493631,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.453105,0.464828,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.513701,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
deepseek-r1-1.5b,self,2,0.660023,0.850000,1.000000,0.911764,0.304209,0.400000,0.750000,0.480769,0.503045,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.489092,0.491820,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.527149,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
deepseek-r1-1.5b,seq,2,0.652313,0.650000,1.000000,0.730769,0.256456,0.400000,0.750000,0.480769,0.459267,0.377778,1.000000,0.523810,1.000000,0.583333,0.583333,0.456013,0.487842,0.347300,0.000000,0.000000,0.000000,0.954157,1.000000,1.000000,1.000000,0.467630,0.321429,1.000000,0.458334,0.377108,0.666667,1.000000,0.750000
deepseek-r1-7b,acc,2,0.734879,0.950000,1.000000,0.973684,0.448068,0.650000,1.000000,0.730769,0.505618,0.502778,1.000000,0.667488,0.500000,0.500000,0.500000,0.562855,0.547141,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.530826,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
deepseek-r1-7b,gtf,2,0.724069,0.800000,0.900000,0.842857,0.453571,0.600000,0.600000,0.600000,0.509325,0.502778,1.000000,0.667488,0.500000,0.583333,0.500000,0.562321,0.546741,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.536121,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
deepseek-r1-7b,self,2,0.679121,0.800000,1.000000,0.875000,0.291237,0.350000,0.500000,0.392857,0.493373,0.502778,1.000000,0.667488,1.000000,0.583333,0.583333,0.487910,0.511766,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.513332,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
deepseek-r1-7b,seq,2,0.686478,0.800000,1.000000,0.875000,0.306890,0.400000,0.833333,0.516483,0.565171,0.613889,1.000000,0.747845,1.000000,0.583333,0.583333,0.519513,0.535468,0.578683,0.500000,0.333333,0.400000,0.933150,1.000000,1.000000,1.000000,0.601909,0.625000,1.000000,0.761905,0.400985,0.666667,1.000000,0.750000
llama3.1-8b,acc,2,0.701011,0.850000,1.000000,0.911764,0.139758,0.150000,0.250000,0.187500,0.495374,0.502778,1.000000,0.667488,1.000000,0.583333,0.583333,0.445381,0.479869,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.516190,0.500000,1.000000,0.666667,0.400985,0.666667,1.000000,0.750000
llama3.1-8b,gtf,2,0.694880,0.850000,1.000000,0.911764,0.112747,0.100000,0.250000,0.142857,0.568968,0.613889,1.000000,0.747845,0.500000,0.500000,0.500000,0.458865,0.469149,0.553926,0.500000,0.500000,0.500000,0.966575,1.000000,1.000000,1.000000,0.602561,0.625000,1.000000,0.761905,0.434155,0.666667,1.000000,0.750000
