subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,5,0.292534,False
1,D2,arguments,3,,5,0.194668,False
1,D2,arguments,4,,1,1.000000,True
1,D2,arguments,5,,5,0.294332,False
1,D2,arguments,6,,1,0.286023,False
1,D3,outcomes,1,,5,0.500000,False
1,D3,outcomes,2,,7,0.120890,False
1,D3,outcomes,3,,7,0.311270,False
1,D3,outcomes,4,,7,0.321576,False
1,D3,outcomes,5,,7,0.204566,False
1,D3,outcomes,6,,7,0.204566,False
1,D1,required_precondition_coverage,1,gt_precondition,1,1.000000,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.854415,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.703802,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.459921,False
1,D1,required_precondition_coverage,8,gt_precondition,1,1.000000,True
2,D2,arguments,1,,2,0.205362,False
2,D2,arguments,2,,1,1.000000,True
2,D2,arguments,3,,2,0.163763,False
2,D2,arguments,4,,2,0.370125,False
2,D3,outcomes,1,,1,0.158041,False
2,D3,outcomes,2,,1,0.371574,False
2,D3,outcomes,3,,1,0.500000,False
2,D3,outcomes,4,,1,1.000000,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.262761,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.273185,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.421505,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.450034,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D1,required_precondition_coverage,7,gt_precondition,2,0.728849,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.465071,False
2,D1,required_precondition_coverage,9,gt_precondition,2,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D1,required_precondition_coverage,11,gt_precondition,2,0.398213,False
2,D1,required_precondition_coverage,12,gt_precondition,2,0.382141,False
