subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,5,0.845318,True
1,D1,outcomes,2,,2,0.290922,False
1,D1,outcomes,3,,3,0.181490,False
1,D1,outcomes,4,,5,0.264645,False
1,D1,outcomes,5,,2,0.304653,False
1,D1,outcomes,6,,2,0.304653,False
1,D3,arguments,1,,5,0.588201,True
1,D3,arguments,2,,3,0.363664,False
1,D3,arguments,3,,4,0.113972,False
1,D3,arguments,4,,5,0.394193,True
1,D3,arguments,5,,4,0.381295,True
1,D3,arguments,6,,3,0.391293,True
1,D4,required_precondition_coverage,1,gt_precondition,1,0.580320,True
1,D4,required_precondition_coverage,2,gt_precondition,5,0.513661,True
1,D4,required_precondition_coverage,3,gt_precondition,5,0.898064,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.545347,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.468265,True
1,D4,required_precondition_coverage,6,gt_precondition,5,0.171087,False
1,D4,required_precondition_coverage,7,gt_precondition,5,0.135605,False
1,D4,required_precondition_coverage,8,gt_precondition,5,0.415815,True
2,D1,outcomes,1,,1,0.074168,False
2,D1,outcomes,2,,1,0.189892,False
2,D1,outcomes,3,,1,0.443727,True
2,D1,outcomes,4,,1,0.330922,False
2,D3,arguments,1,,1,0.300500,False
2,D3,arguments,2,,1,0.225413,False
2,D3,arguments,3,,1,-0.024856,False
2,D3,arguments,4,,1,0.331256,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.619754,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.751879,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.159680,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.113942,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.278511,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.386035,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.200163,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.419398,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.374339,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.668376,True
2,D4,required_precondition_coverage,11,gt_precondition,1,0.639293,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.175561,False
