language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
ch,sem_0001_equivalent,sem_0001,pc4_q4_assumption_global_sem_0001,equivalent,1,0.727096,0.580000,0.580000,True,True,True,$W_t$ 为布朗运动。,$W=(W_t)_{t\geq 0}$ 是一个标准布朗运动。
ch,sem_0001_equivalent,sem_0001,pc4_q4_assumption_global_sem_0001,equivalent,2,0.973875,0.580000,0.580000,True,True,True,$W_t$ 为布朗运动。,过程 $W_t$ 服从布朗运动。
ch,sem_0001_related_but_not_equivalent,sem_0001,pc4_q4_assumption_global_sem_0001,related_but_not_equivalent,1,0.875306,0.580000,0.580000,True,False,False,$W_t$ 为布朗运动。,$W_t$ 是一个连续鞅。
ch,sem_0001_related_but_not_equivalent,sem_0001,pc4_q4_assumption_global_sem_0001,related_but_not_equivalent,2,0.774526,0.580000,0.580000,True,False,False,$W_t$ 为布朗运动。,$W_t$ 是一个具有平稳增量的随机过程。
ch,sem_0001_unrelated,sem_0001,pc4_q4_assumption_global_sem_0001,unrelated,1,0.389644,0.580000,0.580000,False,False,True,$W_t$ 为布朗运动。,随机变量 $Y$ 服从参数为 $\lambda$ 的泊松分布。
ch,sem_0001_unrelated,sem_0001,pc4_q4_assumption_global_sem_0001,unrelated,2,0.320661,0.580000,0.580000,False,False,True,$W_t$ 为布朗运动。,"函数 $f$ 在区间 $[0,1]$ 上严格凸。"
ch,sem_0002_equivalent,sem_0002,pc4_q4_assumptions_sem_0002,equivalent,1,0.787126,0.580000,0.580000,True,True,True,$\tau$ 为有界停时，,停时 $\tau$ 几乎处处有一个有限的确定上界。
ch,sem_0002_equivalent,sem_0002,pc4_q4_assumptions_sem_0002,equivalent,2,0.652347,0.580000,0.580000,True,True,True,$\tau$ 为有界停时，,存在常数 $T<\infty$，使得 $\tau\leq T$ 几乎处处成立。
ch,sem_0002_related_but_not_equivalent,sem_0002,pc4_q4_assumptions_sem_0002,related_but_not_equivalent,1,0.785670,0.580000,0.580000,True,False,False,$\tau$ 为有界停时，,$\tau$ 是一个几乎处处有限的停时，但不一定有界。
ch,sem_0002_related_but_not_equivalent,sem_0002,pc4_q4_assumptions_sem_0002,related_but_not_equivalent,2,0.482592,0.580000,0.580000,False,False,True,$\tau$ 为有界停时，,$\tau$ 是一个可积停时，即 $\mathbb{E}[\tau]<\infty$。
ch,sem_0002_unrelated,sem_0002,pc4_q4_assumptions_sem_0002,unrelated,1,0.396349,0.580000,0.580000,False,False,True,$\tau$ 为有界停时，,$X_t$ 的样本路径几乎处处连续。
ch,sem_0002_unrelated,sem_0002,pc4_q4_assumptions_sem_0002,unrelated,2,0.462671,0.580000,0.580000,False,False,True,$\tau$ 为有界停时，,随机变量 $Z$ 的方差等于 1。
ch,sem_0003_equivalent,sem_0003,pc2_q1_preconditions_sem_0003,equivalent,1,0.805008,0.580000,0.580000,True,True,True,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,当 $s\leq t$ 时，可写成 $X_t=X_s+(X_t-X_s)$。
ch,sem_0003_equivalent,sem_0003,pc2_q1_preconditions_sem_0003,equivalent,2,0.723876,0.580000,0.580000,True,True,True,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,对于先后时刻 $s\leq t$，$X_t$ 等于 $X_s$ 加上从 $s$ 到 $t$ 的增量。
