status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,D2_total_constraints,D2_respected_constraints,D2_violated_constraints,D2_unmatched_constraints,overall_mean_score,overall_with_D2_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,acc,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.432468,0.600000,1.000000,0.750000,0.249388,0.200000,0.500000,0.285714,0.395767,0.550000,1.000000,0.709677,0.000000,0.000000,0.000000,6,0,0,6,0.359208,0.269406,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.451109,0.600000,1.000000,0.750000,0.193412,0.100000,0.500000,0.166667,0.400509,0.550000,1.000000,0.709677,0.000000,0.000000,0.000000,6,0,0,6,0.348344,0.261258,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc2_q1_gtf
ok,,pc2_q1,self,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.442627,0.700000,1.000000,0.823529,0.308368,0.300000,1.000000,0.461538,0.419337,0.550000,1.000000,0.709677,0.000000,0.000000,0.000000,6,0,0,6,0.390111,0.292583,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc2_q1_self
ok,,pc2_q1,seq,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.404399,0.300000,1.000000,0.461538,0.279589,0.300000,1.000000,0.461538,0.325352,0.300000,1.000000,0.461538,1.000000,0.166667,0.166667,6,1,0,5,0.336446,0.294002,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc2_q1_seq
ok,,pc4_q4,acc,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.907757,1.000000,1.000000,1.000000,0.642718,1.000000,1.000000,1.000000,0.612452,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.720976,0.790732,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.868282,1.000000,1.000000,1.000000,0.172872,0.500000,0.500000,0.500000,0.611167,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.550773,0.663080,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.877420,1.000000,1.000000,1.000000,0.288347,0.500000,0.500000,0.500000,0.611167,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.592311,0.694234,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_self.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_self
ok,,pc4_q4,seq,deepseek-r1-1.5b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.900228,1.000000,1.000000,1.000000,0.233324,0.500000,0.500000,0.500000,0.628506,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.587353,0.690514,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_seq.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc4_q4.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-1.5b/pc4_q4_seq
ok,,pc2_q1,acc,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.592160,0.900000,1.000000,0.947368,0.266983,0.300000,1.000000,0.461538,0.424485,0.550000,1.000000,0.709677,0.000000,0.166667,0.000000,6,0,1,5,0.427876,0.320907,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_acc.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_acc
ok,,pc2_q1,gtf,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.375000,,,,2,2,0.533393,0.600000,0.800000,0.685714,0.319301,0.200000,0.200000,0.200000,0.431898,0.550000,1.000000,0.709677,0.000000,0.166667,0.000000,6,0,1,5,0.428197,0.321148,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/en/baseline/pc2_q1_gtf.yaml,/home/xinyi.liang/dev_python/llmaths/project/data/ground_truth/en/pc2_q1.yaml,/home/xinyi.liang/dev_python/llmaths/project/outputs/evaluation/parsed_responses/en/baseline/embedding_only/matrices/deepseek-r1-7b/pc2_q1_gtf
