call1_model,strategy,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,overall_mean_score,overall_with_D2_score,end_to_end_overall_mean_score,end_to_end_overall_with_D2_score,D4_global_assumption_mean_best_score,D4_global_assumption_recall,D4_global_assumption_precision,D4_global_assumption_f1,D4_local_assumption_mean_best_score,D4_local_assumption_recall,D4_local_assumption_precision,D4_local_assumption_f1,D4_gt_precondition_mean_best_score,D4_gt_precondition_recall,D4_gt_precondition_precision,D4_gt_precondition_f1,D4_previous_outcome_mean_best_score,D4_previous_outcome_recall,D4_previous_outcome_precision,D4_previous_outcome_f1
deepseek-r1-1.5b,acc,2,2,2,0,1.000000,0.670112,0.800000,1.000000,0.875000,0.446053,0.600000,0.750000,0.642857,0.504109,0.552778,1.000000,0.711982,0.500000,0.500000,0.500000,0.540092,0.530069,0.540092,0.530069,0.645487,0.500000,0.500000,0.500000,0.644105,0.500000,0.500000,0.500000,0.498047,0.535714,1.000000,0.696970,0.479634,0.750000,1.000000,0.833333
deepseek-r1-1.5b,gtf,2,2,2,0,1.000000,0.659695,0.800000,1.000000,0.875000,0.183142,0.300000,0.500000,0.333334,0.505838,0.552778,1.000000,0.711982,0.500000,0.500000,0.500000,0.449558,0.462169,0.449558,0.462169,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.528411,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
deepseek-r1-1.5b,self,2,2,2,0,1.000000,0.660023,0.850000,1.000000,0.911764,0.298357,0.400000,0.750000,0.480769,0.515252,0.552778,1.000000,0.711982,0.500000,0.500000,0.500000,0.491211,0.493409,0.491211,0.493409,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.541859,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
deepseek-r1-1.5b,seq,2,2,2,0,1.000000,0.652313,0.650000,1.000000,0.730769,0.256456,0.400000,0.750000,0.480769,0.476929,0.427778,1.000000,0.587912,1.000000,0.583333,0.583333,0.461900,0.492258,0.461900,0.492258,0.347300,0.000000,0.000000,0.000000,0.954157,1.000000,1.000000,1.000000,0.482340,0.357143,1.000000,0.509804,0.401655,0.750000,1.000000,0.833333
deepseek-r1-7b,acc,2,2,2,0,1.000000,0.732872,0.950000,1.000000,0.973684,0.448068,0.650000,1.000000,0.730769,0.517826,0.552778,1.000000,0.711982,0.500000,0.583333,0.500000,0.566256,0.549691,0.566256,0.549691,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.545536,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
deepseek-r1-7b,gtf,2,2,2,0,1.000000,0.724069,0.800000,0.900000,0.842857,0.453571,0.600000,0.600000,0.600000,0.521532,0.552778,1.000000,0.711982,0.500000,0.583333,0.500000,0.566391,0.549793,0.566391,0.549793,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.550831,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
deepseek-r1-7b,self,2,2,2,0,1.000000,0.649688,0.800000,1.000000,0.875000,0.291237,0.350000,0.500000,0.392857,0.505580,0.552778,1.000000,0.711982,0.500000,0.500000,0.500000,0.482168,0.486627,0.482168,0.486627,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.528042,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
deepseek-r1-7b,seq,2,2,2,0,1.000000,0.655617,0.800000,1.000000,0.875000,0.301038,0.400000,0.833333,0.516483,0.577379,0.663889,1.000000,0.792339,0.500000,0.500000,0.500000,0.511344,0.508508,0.511344,0.508508,0.578683,0.500000,0.333333,0.400000,0.933150,1.000000,1.000000,1.000000,0.616619,0.660714,1.000000,0.792208,0.376447,0.750000,1.000000,0.833333
llama3.1-8b,acc,2,2,2,0,1.000000,0.686365,0.850000,1.000000,0.911764,0.139758,0.150000,0.250000,0.187500,0.504946,0.552778,1.000000,0.711982,0.500000,0.583333,0.500000,0.443690,0.457767,0.443690,0.457767,0.345944,0.000000,0.000000,0.000000,0.933150,1.000000,1.000000,1.000000,0.527137,0.535714,1.000000,0.696970,0.376447,0.750000,1.000000,0.833333
llama3.1-8b,gtf,2,2,2,0,1.000000,0.665286,0.850000,1.000000,0.911764,0.112747,0.100000,0.250000,0.142857,0.586630,0.663889,1.000000,0.792339,0.500000,0.500000,0.500000,0.454888,0.466166,0.454888,0.466166,0.553926,0.500000,0.500000,0.500000,0.966575,1.000000,1.000000,1.000000,0.617271,0.660714,1.000000,0.792208,0.458702,0.750000,1.000000,0.833333
