subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,score,matched,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.549315,True,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.529903,True,The process is therefore centered Gaussian,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.182185,False,"disjoint increments are uncorrelated, hence independent",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.229267,False,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.617541,True,the classical definition of Brownian motion.,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.617541,True,the classical definition of Brownian motion.,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.309695,False,Independence of \(X_s\) and \(X_t - X_s\),Definition of Brownian Motion
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.200482,False,a linear combination of independent Gaussian increments thus it is Gaussian,Definition of Brownian Motion
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.063289,False,Calculation,Definition of Brownian Motion
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225419,False,thus the law depends only on \(t-s\),Definition of Brownian Motion
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.189591,False,plus the assumption of continuity of paths,Definition of Brownian Motion
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.215755,False,by taking the continuous version via Kolmogorov's theorem,Definition of Brownian Motion
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.619859,True,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.501187,True,Standard Brownian motion has Gaussian increments,"A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.511675,True,"\(X_0 = 0\),","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
